Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0AKS1WVEOUSYa3D2ZyOJvM,"Jealous","Let's Skip to the Wedding","Eyedress",2020-08-07,122338,53,sokux9999,2023-03-25T07:35:12Z,"","Lex Records",0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,4
6hHc7Pks7wtBIW8Z6A0iFq,"Blue Monday","Substance","New Order",1987-08-17,449160,66,sokux9999,2023-04-01T10:36:49Z,"new wave,synthpop,post-punk,madchester","Rhino",0.762,0.651,0,-13.34,1,0.0655,0.00198,0.856,0.111,0.941,130.395,4
7ikqaxy1uOlWudkX8B1NkV,"Sadness Song","Sadness Song","The Secret Shelson's Band",2021-06-15,346665,16,sokux9999,2023-04-22T09:23:15Z,"post-punk,coldwave,dark wave,deathrock","Systemica",0.467,0.764,2,-11.676,1,0.0285,0.0000762,0.232,0.0896,0.293,184.975,4
5ybk0RVtJLh63xcoMyLoTQ,"Judas Effect","Lionheart","Vestron Vulture",2020-10-10,192000,50,sokux9999,2023-06-26T12:17:19Z,"dark wave,post-punk,coldwave,synthwave,witch house","Vestron Vulture",0.546,0.907,7,-6.477,1,0.044,0.00731,0.663,0.118,0.613,149.963,4
2YvWonOJesvP0yu9IFJY7S,"I Don't Know How To Love","Portamento","The Drums",2011-01-01,202053,55,sokux9999,2023-08-25T08:26:31Z,"indie","Universal-Island Records Ltd.",0.411,0.89,11,-6.062,1,0.0436,0.0617,0.127,0.227,0.0669,169.97,4
4bgPDf0OLHytRSicJ8y9pa,"Luces","Luces","Margarita Quebrada",2020-06-26,206000,32,sokux9999,2023-08-25T08:33:29Z,"post-punk,dark wave,coldwave","Jabalina Música",0.41,0.811,1,-10.055,1,0.0443,0.00213,0.1,0.144,0.433,189.888,4
3SN1eGZpzGJlFbnde0B6Sy,"Esta Noche Que Salí","Esta Noche Que Salí","Estrada",2023-04-18,199796,24,sokux9999,2023-09-06T17:44:02Z,"shoegaze,dark wave","Estrada",0.451,0.933,4,-8.263,1,0.0502,0.0296,0.748,0.154,0.356,89.979,4
5UoDMOmgoxkrZTaGa772Y1,"Durmiendo en el Parque","Durmiendo en el Parque","Niños Del Cerro",2020-01-10,239210,28,sokux9999,2023-09-24T19:55:47Z,"indie latino","Quemasucabeza",0.619,0.955,7,-6.244,1,0.054,0.0058,0.00538,0.169,0.713,126.087,4
3gdV5IDWf6ZODTkKKCgGcj,"los backrooms","dreamcore","Ghouljaboy",2021-11-26,206081,0,sokux9999,2023-09-30T09:19:24Z,"post-punk","BMG Rights Management and Administration (Spain) S.L.U",0.552,0.656,2,-5.112,1,0.0329,0.212,0,0.603,0.391,90.027,4
4eef1QqKKtBw6wcxnUQulW,"mala","mala","Depresión Sonora",2024-01-18,163775,48,sokux9999,2024-01-28T21:33:09Z,"post-punk","Sonido Muchacho",0.555,0.868,0,-6.196,1,0.0954,0.0593,0.3,0.0886,0.788,174.008,4
